Location,Date_Time,Temperature_C,Humidity_pct,Precipitation_mm,Wind_Speed_kmh,Weather_Description,Work_Suitability,Flood_Risk
Delhi,2/9/2024,36.59,27.05,9.126221599,7.48,Heavy Rainfall,No,High
"Bengaluru, Karnataka",5/11/2024,-4.023723647,55.79337531,5.370864888,10.500327,Moderate Rainfall,Yes,Low
"Chennai, Tamil Nadu",1/8/2024,25.25,81.9,3.1073652,14.32,Moderate Rainfall,Yes,Low
"Raipur, Chhattisgarh",3/1/2024,35.28,62.08,2.317288279,11.59,Moderate Rainfall,Yes,Low
"Agra, Uttar Pradesh",4/10/2024,28.03,32.39,3.568832555,9.89,Moderate Rainfall,Yes,Low
"Noida, Uttar Pradesh",1/29/2024,34.94,44.23,4.588736289,18.06,Moderate Rainfall,Yes,Low
"Hazira, Gujarat",4/14/2024,29,50.62,0.238229514,5.59,Clear,Yes,Low
"Vijaipur, Madhya Pradesh",5/2/2024,26.92,38,1.198754461,25.78,Moderate Rainfall,Yes,Low
"Kakinada, Andhra Pradesh",5/3/2024,28.89,71.73,5.927081304,28.66,Moderate Rainfall,Yes,Low
"Jagdishpur, Uttar Pradesh",2/24/2024,24.5,69.88,6.290263253,13.97,Moderate Rainfall,Yes,Low
"Bina, Madhya Pradesh",1/11/2024,26.34,39.92,5.642278657,11.95,Moderate Rainfall,Yes,Low
"Bijaipur, Madhya Pradesh",2/3/2024,35.75,57.9,2.448542213,21.4,Moderate Rainfall,Yes,Low
"Pata, Uttar Pradesh",3/26/2024,21.98,60.84,8.105982455,2.42,Heavy Rainfall,No,High
"Kochi, Kerala",2/22/2024,26.78,86.24,1.014853389,11.83,Moderate Rainfall,Yes,Low
"Kota, Rajasthan",3/2/2024,32.2,42.89,6.743429279,13.93,Moderate Rainfall,Yes,High
"Nagpur, Maharashtra",2/15/2024,35.99,45.7,5.745751431,14.05,Moderate Rainfall,Yes,Low
"Indore, Madhya Pradesh",1/18/2024,36.73,54.01,1.284087654,17.79,Moderate Rainfall,Yes,Low
"Gandhar, Gujarat",4/28/2024,29.72,69.58,1.411738547,15.53,Moderate Rainfall,Yes,Low
"Jamnagar, Gujarat",4/15/2024,26.8,61.77,1.470696875,14.87,Moderate Rainfall,Yes,Low
"Mumbai, Maharashtra",1/7/2024,32.39,79.87,3.222035551,19.54,Moderate Rainfall,Yes,Low
Delhi,3/8/2024,15.28,32.15,5.168350209,15.35,Moderate Rainfall,Yes,High
"Bengaluru, Karnataka",5/16/2024,18.30691125,66.57798475,2.789420005,22.82571416,Moderate Rainfall,Yes,Low
"Chennai, Tamil Nadu",4/10/2024,31.83,60.85,0.64322495,17.29,Clear,Yes,Low
"Raipur, Chhattisgarh",4/16/2024,24.14,35.45,4.224571847,6.06,Moderate Rainfall,Yes,Low
"Agra, Uttar Pradesh",2/27/2024,31.26,46.83,9.461046672,14.88,Heavy Rainfall,No,High
"Noida, Uttar Pradesh",4/1/2024,18,48.49,9.90827954,18.71,Heavy Rainfall,No,High
"Hazira, Gujarat",2/7/2024,25.48,55.19,6.606181489,14.91,Moderate Rainfall,Yes,High
"Vijaipur, Madhya Pradesh",3/3/2024,38.07,45.65,8.661940965,13.82,Heavy Rainfall,No,High
"Kakinada, Andhra Pradesh",1/14/2024,36.84,69.45,2.022910463,16.48,Moderate Rainfall,Yes,Low
"Jagdishpur, Uttar Pradesh",4/22/2024,34.42,62.26,1.563144727,15.07,Moderate Rainfall,Yes,Low
"Bina, Madhya Pradesh",5/12/2024,31.46,61.93,0.536946206,11.1,Other,Yes,Low
"Bijaipur, Madhya Pradesh",3/13/2024,24.64,53.91,0.139956156,23.37,Other,Yes,Low
"Pata, Uttar Pradesh",3/5/2024,23.11,48.26,4.287503025,6.76,Moderate Rainfall,Yes,Low
"Kochi, Kerala",3/5/2024,24.8,75.1,4.930512276,14.73,Moderate Rainfall,Yes,Low
"Kota, Rajasthan",3/3/2024,31.72,39.03,4.825292253,17.41,Moderate Rainfall,Yes,Low
"Nagpur, Maharashtra",2/6/2024,24.9,56.95,0.729965164,19.78,Clear,Yes,Low
"Indore, Madhya Pradesh",5/7/2024,23.42,37.89,8.985660793,17.45,Heavy Rainfall,No,High
"Gandhar, Gujarat",2/27/2024,31.28,62,1.156035834,17.3,Moderate Rainfall,Yes,Low
"Jamnagar, Gujarat",5/4/2024,25.03,58.02,1.573403111,7.68,Moderate Rainfall,Yes,Low
"Mumbai, Maharashtra",1/2/2024,26.47,80.85,3.185980236,14.5,Moderate Rainfall,Yes,Low
Delhi,1/6/2024,13.51,21.98,6.219765756,25.68,Moderate Rainfall,Yes,High
"Bengaluru, Karnataka",4/17/2024,33.29066986,62.21617123,4.563419579,10.76278094,Moderate Rainfall,Yes,Low
"Chennai, Tamil Nadu",2/14/2024,37.78,77.02,6.733496321,19.63,Moderate Rainfall,Yes,Low
"Raipur, Chhattisgarh",1/3/2024,34.02,46.86,3.87100979,14.89,Moderate Rainfall,Yes,Low
"Agra, Uttar Pradesh",3/11/2024,25.95,36.16,8.452069466,13.76,Heavy Rainfall,No,High
"Noida, Uttar Pradesh",2/28/2024,31.71,33.3,3.75017959,12.98,Moderate Rainfall,Yes,Low
"Hazira, Gujarat",3/13/2024,28.77,66.95,5.694562174,16.67,Moderate Rainfall,Yes,Low
"Vijaipur, Madhya Pradesh",2/27/2024,24.76,43.24,6.003281907,16.39,Moderate Rainfall,Yes,Low
"Kakinada, Andhra Pradesh",2/20/2024,29.02,70.24,3.10921467,18.11,Moderate Rainfall,Yes,Low
"Jagdishpur, Uttar Pradesh",1/10/2024,19.15,47.06,2.217047063,9.46,Moderate Rainfall,Yes,Low
"Bina, Madhya Pradesh",4/1/2024,29.47,31.72,1.645969277,18.15,Moderate Rainfall,Yes,Low
"Bijaipur, Madhya Pradesh",5/7/2024,27.31,39.9,7.423767492,14.38,Heavy Rainfall,No,Low
"Pata, Uttar Pradesh",1/21/2024,22.01,49.38,2.568901577,2.56,Moderate Rainfall,Yes,Low
"Kochi, Kerala",5/6/2024,27.51,83.49,4.975460116,15.95,Moderate Rainfall,Yes,Low
"Kota, Rajasthan",1/26/2024,29.94,27.93,5.669575715,19.29,Moderate Rainfall,Yes,Low
"Nagpur, Maharashtra",3/15/2024,35.43,45.73,0.954981305,18.9,Clear,Yes,Low
"Indore, Madhya Pradesh",1/10/2024,26.14,34.49,0.952335605,18.17,Clear,Yes,Low
"Gandhar, Gujarat",3/11/2024,31.02,54.03,1.117170184,18.79,Moderate Rainfall,Yes,Low
"Jamnagar, Gujarat",2/12/2024,26.72,41.95,0.939116324,17.92,Clear,Yes,Low
"Mumbai, Maharashtra",2/25/2024,25.09,83.24,5.698313163,21.18,Moderate Rainfall,Yes,Low
Delhi,2/3/2024,29.37,53.76,6.582369457,16.83,Moderate Rainfall,Yes,High
"Bengaluru, Karnataka",2/8/2024,-0.76126519,33.78525112,1.720415037,16.70553535,Moderate Rainfall,Yes,Low
"Chennai, Tamil Nadu",3/21/2024,30.95,64.64,5.563153536,6.51,Moderate Rainfall,Yes,Low
"Raipur, Chhattisgarh",2/10/2024,24.95,33.54,7.587437683,20.94,Heavy Rainfall,No,High
"Agra, Uttar Pradesh",1/21/2024,22.54,53.73,7.870187664,8.2,Heavy Rainfall,No,High
"Noida, Uttar Pradesh",5/18/2024,30.61,47.17,1.828317077,14.25,Moderate Rainfall,Yes,Low
"Hazira, Gujarat",4/12/2024,24.57,50.34,7.6022006,10.57,Heavy Rainfall,No,Low
"Vijaipur, Madhya Pradesh",3/23/2024,29.73,48.11,9.472592298,18.86,Heavy Rainfall,No,High
"Kakinada, Andhra Pradesh",4/23/2024,28.17,83.26,8.034405534,15.67,Heavy Rainfall,No,High
"Jagdishpur, Uttar Pradesh",5/2/2024,24.65,52.5,5.296818772,21.31,Moderate Rainfall,Yes,High
"Bina, Madhya Pradesh",1/3/2024,31.38,40.52,8.919684436,27.18,Heavy Rainfall,No,High
"Bijaipur, Madhya Pradesh",3/19/2024,24.78,45.12,4.944708079,17.15,Moderate Rainfall,Yes,Low
"Pata, Uttar Pradesh",1/9/2024,11.2,70.05,3.048512087,11.78,Moderate Rainfall,Yes,Low
"Kochi, Kerala",2/18/2024,29.57,77.65,4.092071651,10.92,Moderate Rainfall,Yes,Low
"Kota, Rajasthan",4/19/2024,26.59,24,8.621179864,18.53,Heavy Rainfall,No,High
"Nagpur, Maharashtra",3/12/2024,26.58,40.34,1.270153216,24.09,Moderate Rainfall,Yes,Low
"Indore, Madhya Pradesh",5/13/2024,32.4,40.45,8.969602248,23,Heavy Rainfall,No,High
"Gandhar, Gujarat",1/26/2024,34.86,50.75,0.990993297,9.45,Clear,Yes,Low
"Jamnagar, Gujarat",1/19/2024,26.44,44.61,11.27374667,13.57,Heavy Rainfall,No,High
"Mumbai, Maharashtra",2/22/2024,33.82,71.78,8.925890771,23.76,Heavy Rainfall,No,High
Delhi,1/11/2024,12.1,50.98,5.889273828,15.61,Moderate Rainfall,Yes,Low
"Bengaluru, Karnataka",4/5/2024,24.55609288,71.66028574,9.526106074,23.09419158,Heavy Rainfall,No,High
"Chennai, Tamil Nadu",4/6/2024,25.53,69,8.702114818,13.81,Heavy Rainfall,No,High
"Raipur, Chhattisgarh",1/19/2024,22.43,55.64,3.546568827,14.59,Moderate Rainfall,Yes,Low
"Agra, Uttar Pradesh",3/6/2024,25.06,52.71,0.786614119,14.59,Other,Yes,Low
"Noida, Uttar Pradesh",5/16/2024,33.7,51.95,8.930135817,8.07,Heavy Rainfall,No,High
"Hazira, Gujarat",2/4/2024,28.69,51.83,3.958959234,17.51,Moderate Rainfall,Yes,Low
"Vijaipur, Madhya Pradesh",2/11/2024,26.58,42.65,6.352338352,26.18,Moderate Rainfall,Yes,High
"Kakinada, Andhra Pradesh",4/25/2024,34.67,79.41,1.414735507,13.62,Moderate Rainfall,Yes,Low
"Jagdishpur, Uttar Pradesh",1/17/2024,19.74,45.53,8.762334702,6.05,Heavy Rainfall,No,High
"Bina, Madhya Pradesh",4/19/2024,30.7,31.68,1.461531231,13.36,Moderate Rainfall,Yes,Low
"Bijaipur, Madhya Pradesh",3/27/2024,34.97,50.17,8.244165411,16.84,Heavy Rainfall,No,High
"Pata, Uttar Pradesh",2/20/2024,18.36,65.94,1.532279576,9.34,Moderate Rainfall,Yes,Low
"Kochi, Kerala",3/26/2024,29.28,70.97,6.839640542,17.49,Moderate Rainfall,Yes,Low
"Kota, Rajasthan",5/7/2024,28.33,42.86,2.552557745,8.56,Moderate Rainfall,Yes,Low
"Nagpur, Maharashtra",3/25/2024,34.76,53.74,4.746606877,24.68,Moderate Rainfall,Yes,Low
"Indore, Madhya Pradesh",3/23/2024,32.12,30.1,7.569829485,11.2,Heavy Rainfall,No,High
"Gandhar, Gujarat",2/3/2024,33.1,50.09,2.928683757,11.21,Moderate Rainfall,Yes,Low
"Jamnagar, Gujarat",3/11/2024,32.06,41.07,2.570002521,8.34,Moderate Rainfall,Yes,Low
"Mumbai, Maharashtra",1/21/2024,31.83,76.82,2.174542081,20.53,Moderate Rainfall,Yes,Low
Delhi,1/5/2024,26.57,49.46,4.035096243,26.01,Moderate Rainfall,Yes,High
"Bengaluru, Karnataka",1/28/2024,-0.934075561,37.11268237,4.101527669,15.29260476,Moderate Rainfall,Yes,Low
"Chennai, Tamil Nadu",2/24/2024,26.38,84.51,4.212656375,5.09,Moderate Rainfall,Yes,Low
"Raipur, Chhattisgarh",2/2/2024,25.56,34.86,8.62976565,12.34,Heavy Rainfall,No,High
"Agra, Uttar Pradesh",4/17/2024,21.58,31.33,3.781589306,9.49,Moderate Rainfall,Yes,Low
"Noida, Uttar Pradesh",4/27/2024,28.27,38.66,8.927943751,15.27,Heavy Rainfall,No,High
"Hazira, Gujarat",2/3/2024,23.5,43.19,8.716359428,14.09,Heavy Rainfall,No,High
"Vijaipur, Madhya Pradesh",2/9/2024,36.86,57.95,3.817217553,11.81,Moderate Rainfall,Yes,Low
"Kakinada, Andhra Pradesh",1/12/2024,26.3,76.15,2.34831544,21.6,Moderate Rainfall,Yes,Low
"Jagdishpur, Uttar Pradesh",3/25/2024,28.56,52.32,3.470748784,12.54,Moderate Rainfall,Yes,Low
"Bina, Madhya Pradesh",5/7/2024,27.29,48.14,3.150509508,22.94,Moderate Rainfall,Yes,Low
"Bijaipur, Madhya Pradesh",2/3/2024,26.75,42.95,1.616569656,18.19,Moderate Rainfall,Yes,Low
"Pata, Uttar Pradesh",3/25/2024,17.25,66.85,2.498393782,6.55,Moderate Rainfall,Yes,Low
"Kochi, Kerala",1/1/2024,25.96,87.41,7.941085876,6.09,Heavy Rainfall,No,Low
"Kota, Rajasthan",1/28/2024,38.01,24.42,0.582457452,5.25,Clear,Yes,Low
"Nagpur, Maharashtra",4/6/2024,39.54,45.96,4.058010454,24.55,Moderate Rainfall,Yes,Low
"Indore, Madhya Pradesh",1/5/2024,23.28,47.67,0.814009046,13.27,Clear,Yes,Low
"Gandhar, Gujarat",5/13/2024,32.55,53.84,0.234623698,16.27,Clear,Yes,Low
"Jamnagar, Gujarat",4/1/2024,37.91,62.1,9.41394632,15.47,Heavy Rainfall,No,High
"Mumbai, Maharashtra",3/10/2024,33.66,77.79,5.534263778,16.77,Moderate Rainfall,Yes,High
Delhi,5/15/2024,21.72,26.95,9.527386214,26.6,Heavy Rainfall,No,High
"Bengaluru, Karnataka",5/16/2024,8.002462544,39.86356095,5.659195402,15.90040059,Moderate Rainfall,Yes,Low
"Chennai, Tamil Nadu",2/10/2024,30.09,68.53,0.846377819,19.67,Clear,Yes,Low
"Raipur, Chhattisgarh",5/8/2024,34.9,63.11,7.240546043,12.76,Heavy Rainfall,No,Low
"Agra, Uttar Pradesh",1/7/2024,28.22,48.29,0.149264378,9.94,Clear,Yes,Low
"Noida, Uttar Pradesh",1/17/2024,28.43,38.35,3.407460395,12.84,Moderate Rainfall,Yes,Low
"Hazira, Gujarat",5/17/2024,30.51,60.34,9.291562139,16.49,Heavy Rainfall,No,High
"Vijaipur, Madhya Pradesh",2/25/2024,37.54,47.11,2.215045533,29.6,Moderate Rainfall,Yes,Low
"Kakinada, Andhra Pradesh",5/17/2024,32.99,61.06,5.725652749,23.72,Moderate Rainfall,Yes,Low
"Jagdishpur, Uttar Pradesh",1/8/2024,24.19,50.51,3.382551422,9.23,Moderate Rainfall,Yes,Low
"Bina, Madhya Pradesh",4/8/2024,36.96,32.34,1.49619285,24.34,Moderate Rainfall,Yes,Low
"Bijaipur, Madhya Pradesh",4/11/2024,28.14,44.34,0.154542352,11.81,Clear,Yes,Low
"Pata, Uttar Pradesh",4/16/2024,17.7,55.71,9.765664483,11.09,Heavy Rainfall,No,High
"Kochi, Kerala",4/11/2024,31.08,73.55,3.349797974,14.61,Moderate Rainfall,Yes,Low
"Kota, Rajasthan",3/2/2024,33.87,42.39,3.55577285,8.89,Moderate Rainfall,Yes,Low
"Nagpur, Maharashtra",5/7/2024,34.24,60.18,1.268827501,21.06,Moderate Rainfall,Yes,Low
"Indore, Madhya Pradesh",4/27/2024,32.43,46.64,5.042663675,17.25,Moderate Rainfall,Yes,Low
"Gandhar, Gujarat",4/14/2024,29.46,57.06,8.669424085,10.13,Heavy Rainfall,No,High
"Jamnagar, Gujarat",4/3/2024,34.56,54.6,6.744985107,15.22,Moderate Rainfall,Yes,High
"Mumbai, Maharashtra",1/15/2024,24.77,74.65,4.164644729,24.42,Moderate Rainfall,Yes,Low
Delhi,4/22/2024,36.7,22.54,1.301526608,23.54,Moderate Rainfall,Yes,Low
"Bengaluru, Karnataka",5/1/2024,13.17790633,76.34292396,6.497843004,8.041565841,Moderate Rainfall,Yes,High
"Chennai, Tamil Nadu",2/4/2024,29.59,68.01,4.173186337,5.6,Moderate Rainfall,Yes,Low
"Raipur, Chhattisgarh",1/21/2024,31.99,43.73,7.350842166,5.7,Heavy Rainfall,No,High
"Agra, Uttar Pradesh",5/17/2024,21.95,58.3,7.236825333,17.74,Heavy Rainfall,No,High
"Noida, Uttar Pradesh",4/4/2024,16.42,35.04,1.264278461,9.41,Moderate Rainfall,Yes,Low
"Hazira, Gujarat",1/23/2024,30.26,60.12,9.470906411,18.76,Heavy Rainfall,No,High
"Vijaipur, Madhya Pradesh",3/30/2024,30.28,59.56,6.606794182,28.15,Moderate Rainfall,Yes,Low
"Kakinada, Andhra Pradesh",2/24/2024,28.76,70.04,0.439765482,26,Clear,Yes,Low
"Jagdishpur, Uttar Pradesh",4/13/2024,33.06,51.62,1.910282006,19.53,Moderate Rainfall,Yes,Low
"Bina, Madhya Pradesh",2/8/2024,29,63.49,3.772777218,15.66,Moderate Rainfall,Yes,Low
"Bijaipur, Madhya Pradesh",3/10/2024,31.08,46.9,4.679309978,27.12,Moderate Rainfall,Yes,High
"Pata, Uttar Pradesh",4/20/2024,16.43,67.86,8.809698438,2.45,Heavy Rainfall,No,High
"Kochi, Kerala",3/14/2024,26.92,89.07,4.915791322,14.24,Moderate Rainfall,Yes,Low
"Kota, Rajasthan",1/9/2024,29.14,25.9,7.194131357,17.49,Heavy Rainfall,No,Low
"Nagpur, Maharashtra",5/15/2024,36.82,49.67,7.493062491,12.91,Heavy Rainfall,No,High
"Indore, Madhya Pradesh",4/14/2024,29.2,50.05,0.91189128,10.19,Clear,Yes,Low
"Gandhar, Gujarat",1/16/2024,32.46,65.51,1.201763574,14.16,Moderate Rainfall,Yes,Low
"Jamnagar, Gujarat",2/17/2024,33.56,45.82,9.538758076,11.14,Heavy Rainfall,No,High
"Mumbai, Maharashtra",2/8/2024,31.25,68.5,11.42288457,21.75,Heavy Rainfall,No,High
Delhi,4/21/2024,10.75,27.7,2.973427532,11.67,Moderate Rainfall,Yes,Low
"Bengaluru, Karnataka",4/4/2024,37.23122368,63.49941362,6.909550711,1.076543759,Moderate Rainfall,Yes,Low
"Chennai, Tamil Nadu",1/13/2024,34,71.63,6.640194841,12.96,Moderate Rainfall,Yes,High
"Raipur, Chhattisgarh",1/31/2024,33.21,42.81,4.899672227,13.32,Moderate Rainfall,Yes,Low
"Agra, Uttar Pradesh",5/15/2024,25.93,55.83,2.753840916,18.17,Moderate Rainfall,Yes,Low
"Noida, Uttar Pradesh",5/1/2024,31.53,51.94,8.704650655,9.61,Heavy Rainfall,No,High
"Hazira, Gujarat",2/13/2024,30.87,45.98,1.297593877,11.82,Moderate Rainfall,Yes,Low
"Vijaipur, Madhya Pradesh",3/13/2024,38.52,49.15,0.549425747,21.71,Clear,Yes,Low
"Kakinada, Andhra Pradesh",1/21/2024,32.25,64.79,5.450822431,22.8,Moderate Rainfall,Yes,Low
"Jagdishpur, Uttar Pradesh",5/1/2024,30.79,48.07,1.044133144,12.91,Moderate Rainfall,Yes,Low
"Bina, Madhya Pradesh",2/1/2024,33.72,33.85,9.462328862,24.61,Heavy Rainfall,No,High
"Bijaipur, Madhya Pradesh",2/10/2024,31.13,57.7,5.805529477,14.34,Moderate Rainfall,Yes,Low
"Pata, Uttar Pradesh",1/2/2024,15.28,53.83,8.027932685,10.8,Heavy Rainfall,No,High
"Kochi, Kerala",5/10/2024,29.66,92.33,2.867916622,5.13,Moderate Rainfall,Yes,Low
"Kota, Rajasthan",3/31/2024,41.27,30.63,5.476025539,9.09,Moderate Rainfall,Yes,Low
"Nagpur, Maharashtra",3/26/2024,31.6,58.26,1.204889349,17.7,Moderate Rainfall,Yes,Low
"Indore, Madhya Pradesh",1/6/2024,29.03,33.57,9.022310248,11.3,Heavy Rainfall,No,High
"Gandhar, Gujarat",2/29/2024,31.19,53.28,7.536091515,9.64,Heavy Rainfall,No,High
"Jamnagar, Gujarat",3/8/2024,29.84,43.94,7.68145962,6.53,Heavy Rainfall,No,Low
"Mumbai, Maharashtra",1/7/2024,25.4,87.6,0.234133144,13.69,Other,Yes,Low
Delhi,5/3/2024,19.42,35.69,3.903800157,13.35,Moderate Rainfall,Yes,Low
"Bengaluru, Karnataka",4/2/2024,0.32179206,81.82630859,3.397458615,19.44330987,Moderate Rainfall,Yes,Low
"Chennai, Tamil Nadu",1/25/2024,27.72,86.19,4.63917987,12.65,Moderate Rainfall,Yes,Low
"Raipur, Chhattisgarh",2/4/2024,31.19,50.41,4.898928863,5.81,Moderate Rainfall,Yes,Low
"Agra, Uttar Pradesh",4/11/2024,20.4,34.27,5.393838024,16.86,Moderate Rainfall,Yes,Low
"Noida, Uttar Pradesh",4/12/2024,24.18,36.56,4.798470039,5.37,Moderate Rainfall,Yes,Low
"Hazira, Gujarat",1/9/2024,31.16,53.04,4.248480467,7.76,Moderate Rainfall,Yes,High
"Vijaipur, Madhya Pradesh",2/10/2024,34.79,45.36,3.368626323,15.85,Moderate Rainfall,Yes,Low
"Kakinada, Andhra Pradesh",2/1/2024,33.75,80.55,1.706069152,24.77,Moderate Rainfall,Yes,Low
"Jagdishpur, Uttar Pradesh",1/10/2024,35.61,55.21,7.002664719,17.96,Heavy Rainfall,No,High
"Bina, Madhya Pradesh",5/15/2024,39.47,44.35,0.285669411,23.17,Clear,Yes,Low
"Bijaipur, Madhya Pradesh",2/3/2024,32.98,57.1,6.035970846,26.7,Moderate Rainfall,Yes,Low
"Pata, Uttar Pradesh",2/14/2024,13.58,56.64,9.252879679,2.65,Heavy Rainfall,No,High
"Kochi, Kerala",5/11/2024,28.28,87.05,3.048520749,14.8,Moderate Rainfall,Yes,Low
"Kota, Rajasthan",4/7/2024,37.07,48.76,7.42357472,19.46,Heavy Rainfall,No,High
"Nagpur, Maharashtra",4/6/2024,24.2,54.15,8.828881292,14.59,Heavy Rainfall,No,High
"Indore, Madhya Pradesh",1/20/2024,33.46,49.71,5.229564517,24.62,Moderate Rainfall,Yes,Low
"Gandhar, Gujarat",3/7/2024,35.68,53.68,4.139956242,16.91,Moderate Rainfall,Yes,High
"Jamnagar, Gujarat",2/26/2024,29.53,48.97,9.750513693,15.95,Heavy Rainfall,No,High
"Mumbai, Maharashtra",5/7/2024,26.8,77.03,2.087485661,16.98,Moderate Rainfall,Yes,Low
Delhi,4/28/2024,15.77,58.47,3.61519911,8.08,Moderate Rainfall,Yes,Low
"Bengaluru, Karnataka",4/11/2024,21.24322855,42.18808997,0.522368524,5.761551448,Clear,Yes,Low
"Chennai, Tamil Nadu",5/17/2024,31.39,67.99,7.7240925,17.83,Heavy Rainfall,No,Low
"Raipur, Chhattisgarh",4/6/2024,22.19,53.03,0.738872664,16.23,Other,Yes,Low
"Agra, Uttar Pradesh",5/14/2024,24,38.45,1.668760723,7.03,Moderate Rainfall,Yes,Low
"Noida, Uttar Pradesh",5/10/2024,17.91,47.98,1.30741584,13.42,Moderate Rainfall,Yes,Low
"Hazira, Gujarat",3/29/2024,23.68,49.93,8.235220693,12.83,Heavy Rainfall,No,High
"Vijaipur, Madhya Pradesh",2/9/2024,21.26,35.07,1.460823774,22.27,Moderate Rainfall,Yes,Low
"Kakinada, Andhra Pradesh",1/24/2024,30.61,74.49,2.739281804,13.89,Moderate Rainfall,Yes,Low
"Jagdishpur, Uttar Pradesh",1/17/2024,31.88,42.54,2.551621575,21.74,Moderate Rainfall,Yes,Low
"Bina, Madhya Pradesh",5/1/2024,34.03,56.97,2.505531809,24.86,Moderate Rainfall,Yes,Low
"Bijaipur, Madhya Pradesh",2/1/2024,22.28,57.74,5.396070559,23.58,Moderate Rainfall,Yes,Low
"Pata, Uttar Pradesh",1/14/2024,27.03,66.17,2.767929361,4.79,Moderate Rainfall,Yes,Low
"Kochi, Kerala",1/28/2024,30.51,89.32,6.431691433,13.06,Moderate Rainfall,Yes,Low
"Kota, Rajasthan",1/1/2024,28.08,26.29,4.398020023,14.49,Moderate Rainfall,Yes,High
"Nagpur, Maharashtra",2/9/2024,30.78,63.79,5.486667582,17.2,Moderate Rainfall,Yes,High
"Indore, Madhya Pradesh",3/25/2024,29.56,33.63,9.247503935,15.5,Heavy Rainfall,No,High
"Gandhar, Gujarat",5/3/2024,28.25,68.68,5.814707558,8.39,Moderate Rainfall,Yes,High
"Jamnagar, Gujarat",5/10/2024,32.61,61.29,3.230257522,13.03,Moderate Rainfall,Yes,Low
"Mumbai, Maharashtra",4/8/2024,33.67,60.53,1.50722684,21.48,Moderate Rainfall,Yes,Low
Delhi,4/16/2024,38.64,33.64,7.274852366,19.96,Heavy Rainfall,No,Low
"Bengaluru, Karnataka",2/21/2024,4.924233456,69.2358068,4.1183375,8.213537112,Moderate Rainfall,Yes,Low
"Chennai, Tamil Nadu",3/24/2024,26.85,67.81,7.785971552,8.69,Heavy Rainfall,No,Low
"Raipur, Chhattisgarh",2/2/2024,37.92,40,5.932962571,19.64,Moderate Rainfall,Yes,Low
"Agra, Uttar Pradesh",1/7/2024,34.8,35.51,3.326419187,5.79,Moderate Rainfall,Yes,Low
"Noida, Uttar Pradesh",2/22/2024,25.61,48.21,0.415817432,5.63,Clear,Yes,Low
"Hazira, Gujarat",3/6/2024,24.15,61.33,8.3606796,6.44,Heavy Rainfall,No,High
"Vijaipur, Madhya Pradesh",4/16/2024,30.81,53,4.317476119,27.04,Moderate Rainfall,Yes,Low
"Kakinada, Andhra Pradesh",5/14/2024,29.46,83.06,0.972222743,19.41,Other,Yes,Low
"Jagdishpur, Uttar Pradesh",2/26/2024,28.54,68.58,8.83123505,5.87,Heavy Rainfall,No,High
"Bina, Madhya Pradesh",3/15/2024,26.58,56.78,8.120757187,15.05,Heavy Rainfall,No,High
"Bijaipur, Madhya Pradesh",1/7/2024,23.38,44.17,5.160567384,20.01,Moderate Rainfall,Yes,Low
"Pata, Uttar Pradesh",3/1/2024,13.43,70.79,1.279408966,2.92,Moderate Rainfall,Yes,Low
"Kochi, Kerala",3/15/2024,30.67,86.84,7.40347964,15.4,Heavy Rainfall,No,Low
"Kota, Rajasthan",4/8/2024,34.15,47.92,1.14605002,9.77,Moderate Rainfall,Yes,Low
"Nagpur, Maharashtra",4/4/2024,27.07,56.77,0.403538849,24.1,Clear,Yes,Low
"Indore, Madhya Pradesh",5/5/2024,29.7,54.27,6.428110978,12.84,Moderate Rainfall,Yes,Low
"Gandhar, Gujarat",1/19/2024,28.15,64.39,3.465860131,18.32,Moderate Rainfall,Yes,Low
"Jamnagar, Gujarat",4/24/2024,31.12,42.99,1.902379888,7.46,Moderate Rainfall,Yes,Low
"Mumbai, Maharashtra",4/6/2024,29.52,81.78,3.599392907,16,Moderate Rainfall,Yes,Low
Delhi,5/10/2024,15.46,56.01,1.883745565,11.27,Moderate Rainfall,Yes,Low
"Bengaluru, Karnataka",3/3/2024,34.11857804,68.94430497,4.890215749,0.890286345,Moderate Rainfall,Yes,Low
"Chennai, Tamil Nadu",3/30/2024,32.1,76.32,3.056299185,5.96,Moderate Rainfall,Yes,Low
"Raipur, Chhattisgarh",1/21/2024,34,63.02,1.895482426,7.99,Moderate Rainfall,Yes,Low
"Agra, Uttar Pradesh",1/25/2024,21.39,34.36,4.244332475,6.74,Moderate Rainfall,Yes,Low
"Noida, Uttar Pradesh",4/29/2024,18.7,33.21,4.065041742,9.8,Moderate Rainfall,Yes,Low
"Hazira, Gujarat",1/21/2024,30.58,66.84,0.384873749,19.93,Clear,Yes,Low
"Vijaipur, Madhya Pradesh",1/3/2024,26.7,35.85,6.958886474,23.36,Moderate Rainfall,Yes,High
"Kakinada, Andhra Pradesh",1/30/2024,36.51,77.85,3.09224283,13.89,Moderate Rainfall,Yes,Low
"Jagdishpur, Uttar Pradesh",4/27/2024,21.2,56.89,8.085166442,5.04,Heavy Rainfall,No,High
"Bina, Madhya Pradesh",1/30/2024,39.18,54.08,1.240648779,25.95,Moderate Rainfall,Yes,Low
"Bijaipur, Madhya Pradesh",2/19/2024,30.32,47.8,0.828182186,15.39,Clear,Yes,Low
"Pata, Uttar Pradesh",4/1/2024,15.61,48,1.346916646,2.29,Moderate Rainfall,Yes,Low
