Temperature,Wind speed,Rain in mm,Location,Work Suitability
23.1,5.1,3,Vijaipur,Yes
22.7,11.9,45.4,Vijaipur,No
36.05372024,63.07684508,27.7,Vijaipur,No
33.7,5.1,60.8,Vijaipur,No
26.1,4.7,20.6,Vijaipur,No
18,11.8,68.7,Bangalore,No
31.6,3.7,42.8,Guwahati,No
33.4,9.8,36.4,Vijaipur,No
23.9,10.4,63.8,Guwahati,No
32.2,6.3,84.9,Bangalore,No
28.7,11.5,11.3,Guwahati,Yes
23.4,3.4,53.3,Bangalore,No
16.7,6.8,31.9,Vijaipur,No
24.3,8.4,72.3,Vijaipur,No
34.6,10.3,22.3,Vijaipur,No
30,13.5,48.2,Vijaipur,No
19.2,10.3,2.8,Guwahati,Yes
42.31901553,41.98390289,39.6,Guwahati,No
17.9,13.3,30.9,Bangalore,No
30.5,8.7,83,Bangalore,No
25.2,9.5,87,Bangalore,No
23.4,1.9,36.3,Guwahati,No
23.9,3.3,59.5,Guwahati,No
29.7,5.8,57.8,Bangalore,No
16.8,9.2,32.4,Vijaipur,No
19.9,3.8,37.1,Bangalore,No
32,8.8,64.5,Guwahati,No
32.5,8.7,79.8,Bangalore,No
30.2,7.2,48.5,Guwahati,No
34.3,6.5,10.4,Guwahati,Yes
16.9,4,69.3,Guwahati,No
20.8,13.4,13.4,Bangalore,Yes
33.9,8.1,7.5,Guwahati,Yes
16.1,11,35.5,Vijaipur,No
20.7,8.9,87.1,Bangalore,No
49.98422845,27.37825086,39.5,Guwahati,No
28.5,1.8,44.6,Vijaipur,No
48.40374238,60.00714292,95,Bangalore,No
42.93277105,66.34402379,71.3,Guwahati,No
18.2,9.3,9,Guwahati,Yes
23.1,10.8,32.8,Vijaipur,No
17.4,8.8,29.3,Guwahati,No
19,11.9,18.8,Guwahati,Yes
23.5,3.1,79.3,Bangalore,No
28,8.6,79.4,Vijaipur,No
44.32166964,54.16716555,45.3,Guwahati,No
23.1,9,21.5,Bangalore,No
17.8,2.3,97.6,Vijaipur,No
41.02643593,93.01823097,84.5,Vijaipur,No
18.1,5.4,35.5,Vijaipur,No
19,2.7,60.7,Vijaipur,No
29.4,11.5,0.2,Bangalore,Yes
47.80797181,35.3767261,75.4,Vijaipur,No
33,3.7,88.7,Bangalore,No
20.2,1.2,38.1,Guwahati,No
28.5,3.7,1.9,Vijaipur,Yes
26.5,10.7,61.9,Guwahati,No
21.1,1.3,93.3,Bangalore,No
23.9,1.6,67.1,Bangalore,No
24.7,11.9,46.4,Bangalore,No
28.7,1.2,11.7,Vijaipur,Yes
38.04024231,92.21946188,22.9,Bangalore,No
20.4,4.4,71.2,Guwahati,No
17,8.6,75.9,Bangalore,No
45.52260474,95.6908184,84.2,Bangalore,No
42.34625848,72.23191121,47.6,Vijaipur,No
17.9,12.3,58,Bangalore,No
23.8,12.8,30.1,Vijaipur,No
22.4,5.5,65.7,Bangalore,No
30.1,2.2,63.9,Guwahati,No
47.90044072,52.23934381,73.2,Vijaipur,No
25.9,4.9,50.4,Vijaipur,No
31.6,11.1,26.7,Guwahati,No
30.1,5.9,8.7,Guwahati,Yes
27.3,5.7,55,Vijaipur,No
41.10040005,53.64209804,89.7,Guwahati,No
21.4,10.6,15.5,Vijaipur,Yes
18.6,4,91.8,Vijaipur,No
48.56773567,89.97876806,72.6,Guwahati,No
21.9,7.1,20.1,Vijaipur,No
17.4,13,10.5,Guwahati,No
24.2,4.6,38.9,Vijaipur,No
31.3,3.5,78.4,Guwahati,No
26.7,13.9,53.1,Vijaipur,No
26.7,13.2,65.3,Vijaipur,No
32.5,2.5,45.5,Guwahati,No
22.3,1.9,60.2,Bangalore,No
30.3,12.2,73.7,Bangalore,No
16.6,10,51,Bangalore,No
25.3,2.4,62.7,Bangalore,No
26.3,10.3,55.5,Guwahati,No
27.3,9.9,0.9,Vijaipur,Yes
43.22087638,27.05754446,46,Guwahati,No
38.27926616,98.41654639,22,Guwahati,No
23.8,10.6,76.8,Bangalore,No
29.7,6.4,13.6,Guwahati,Yes
15,1.5,32.5,Guwahati,No
18.9,13.9,3.4,Bangalore,Yes
18.4,6,34.2,Bangalore,No
25.7,9.3,33,Bangalore,No
23.1,9.1,12.9,Vijaipur,Yes
37.94976932,54.83181035,89.1,Vijaipur,No
33.7,12.8,20.2,Vijaipur,No
34.8,11.1,72.9,Guwahati,No
20.8,10.9,17.6,Bangalore,Yes
33.3,10.8,85.8,Guwahati,No
36.40039157,52.62032211,47.3,Guwahati,No
15.6,3.6,64.1,Guwahati,No
46.19553799,58.36037235,86.5,Vijaipur,No
36.12050701,26.42733683,65.9,Guwahati,No
41.98985358,96.61020652,99.4,Vijaipur,No
24.6,4.6,63.9,Guwahati,No
32,14,68,Bangalore,No
33.5,9.3,98.7,Bangalore,No
30.3,5.3,21,Bangalore,No
24.7,3,25.7,Guwahati,No
28.2,6.9,97.9,Bangalore,No
23.9,11.9,11.6,Guwahati,Yes
43.91268138,64.22215165,93.9,Bangalore,No
29.8,9.4,69.4,Guwahati,No
18.6,10.3,30.8,Vijaipur,No
31.6,12.3,13.1,Vijaipur,Yes
20.9,8.1,73.9,Guwahati,No
19.2,1.1,25,Bangalore,No
27.4,5.9,27.9,Bangalore,No
31.1,8.8,20.6,Vijaipur,No
23.2,14,18.7,Bangalore,Yes
26.4,13.9,82.9,Bangalore,No
17.3,13.1,45.7,Bangalore,No
46.97327471,40.75968019,61.3,Vijaipur,No
29.3,1.7,62.4,Vijaipur,No
16.7,14.2,39.8,Guwahati,No
43.17731477,70.48984095,50.6,Vijaipur,No
30,10.7,52.2,Guwahati,No
26.4,6.9,15.8,Guwahati,Yes
26,13.8,68.9,Vijaipur,No
15.5,10.8,14.5,Vijaipur,No
45.23383867,73.73545747,26.4,Vijaipur,No
46.34570373,57.48198359,84.8,Guwahati,No
33.4,13.6,90.6,Guwahati,No
43.04339296,42.25046113,57.5,Bangalore,No
28.5,11.7,27.4,Guwahati,No
20.5,14,75.1,Guwahati,No
17.2,2.1,6.9,Guwahati,No
16.7,3.6,60.3,Vijaipur,No
49.51206845,65.15426496,81.2,Vijaipur,No
21.1,14.3,77.2,Guwahati,No
26.2,8.4,8,Guwahati,Yes
40.29528301,33.04420258,43.6,Guwahati,No
33.3,3,90,Guwahati,No
26,6.6,29.9,Vijaipur,No
40.43430268,96.29309271,91.2,Guwahati,No
16.1,14.7,2.3,Vijaipur,No
28.9,2.7,18.4,Vijaipur,Yes
28.1,2.6,55.1,Vijaipur,No
23.7,5.9,45.2,Vijaipur,No
24.7,8.3,51.7,Bangalore,No
24.5,10,34.2,Guwahati,No
33.9,3,71.3,Guwahati,No
34.6,1.4,32.6,Vijaipur,No
36.47428615,64.81642611,2,Vijaipur,No
23.4,9.3,24.6,Bangalore,No
25.8,13.7,20.5,Bangalore,No
31,14.3,52.5,Vijaipur,No
47.55772347,59.61836145,57.5,Vijaipur,No
33.2,8.3,12.1,Guwahati,Yes
28.9,14.9,17.7,Bangalore,Yes
32.2,5,38.4,Bangalore,No
23.8,3.9,3.3,Guwahati,Yes
18.3,7.7,18.5,Bangalore,Yes
17.9,8.7,98.6,Guwahati,No
24.2,5.5,14.4,Guwahati,Yes
24.5,3.2,57.2,Bangalore,No
45.28520945,79.899369,37.1,Bangalore,No
18.8,14.4,73.7,Guwahati,No
46.87971529,39.49354644,84.3,Bangalore,No
24.3,10.9,34.7,Guwahati,No
21.2,8.6,83.4,Vijaipur,No
35.58756784,59.08417267,37.4,Bangalore,No
21.2,3.9,22.5,Guwahati,No
15.6,4,75.5,Guwahati,No
44.96680462,41.44263702,20.4,Guwahati,No
30.1,8.4,38.5,Vijaipur,No
30.6,7.4,37.5,Bangalore,No
20.6,4.6,10.4,Bangalore,Yes
21.1,13.6,66.9,Guwahati,No
15,4.2,79.4,Bangalore,No
29.1,14.3,78.3,Bangalore,No
16.6,1.6,89.6,Guwahati,No
22.4,10.6,78.5,Bangalore,No
22.1,6.3,70.8,Vijaipur,No
20.5,11.2,53.8,Bangalore,No
34.8,12.2,14.9,Bangalore,Yes
48.64922294,49.77131247,30.6,Vijaipur,No
44.90678316,93.50405614,55.2,Bangalore,No
31.8,4.5,57.7,Bangalore,No
49.08939094,54.58639729,30.7,Guwahati,No
20.8,2.2,74.1,Guwahati,No
25.6,5.3,36.8,Vijaipur,No
25.8,12.3,57.6,Bangalore,No
30.7,7.6,47.1,Bangalore,No
19.6,8.9,39.1,Bangalore,No
27.2,1.8,26.2,Bangalore,No
39.64040946,71.61263734,23.9,Bangalore,No
20.1,1.7,62.9,Bangalore,No
19,11.8,58.8,Guwahati,No
22,14.6,46.4,Bangalore,No
22.4,9.2,56.2,Vijaipur,No
34,8.8,27.2,Vijaipur,No
23.9,6.5,89.3,Bangalore,No
39.51832471,38.42672802,88.5,Bangalore,No
25.6,9.8,99.2,Vijaipur,No
18.4,7.9,16,Vijaipur,Yes
30,9.6,33.9,Bangalore,No
26,9.1,7.1,Bangalore,Yes
47.49454044,65.30645123,97.4,Guwahati,No
18.9,7.1,7.8,Vijaipur,Yes
17.4,1.2,13.4,Bangalore,No
45.74218574,86.31556583,53.8,Bangalore,No
42.51015246,28.1820756,99.5,Guwahati,No
28.1,13.4,9.9,Vijaipur,Yes
44.78065297,40.06979168,66.5,Guwahati,No
31,7.5,63.7,Vijaipur,No
41.00506868,95.10098433,80.6,Bangalore,No
28.6,7.3,26.7,Vijaipur,No
25.6,8,88.4,Vijaipur,No
25.2,4,6.1,Bangalore,Yes
34.1,3.3,63.3,Bangalore,No
29.6,5.1,91.9,Guwahati,No
48.6214106,67.42588661,73.9,Bangalore,No
22.3,10.5,35.9,Guwahati,No
18.1,14.4,28.9,Bangalore,No
39.90655242,36.61877005,33.8,Guwahati,No
15.6,8,97.6,Bangalore,No
19.7,14.7,53.7,Vijaipur,No
33.9,9.9,10.6,Guwahati,Yes
36.37209777,81.92400335,33.7,Vijaipur,No
33.8,4,21.2,Guwahati,No
24.6,8.2,83,Guwahati,No
45.07626209,50.57662086,65.7,Vijaipur,No
15.8,9.4,32.3,Bangalore,No
21.8,2,6.1,Vijaipur,Yes
15.2,5.7,44.6,Bangalore,No
31.2,2,12.8,Bangalore,Yes
33.6,13.4,28.3,Guwahati,No
34.9,8.9,75.5,Vijaipur,No
48.42814447,73.87651243,61.4,Vijaipur,No
24.4,6.2,69.1,Guwahati,No
25.2,6.1,51.4,Vijaipur,No
33.8,2,92.3,Bangalore,No
26.8,13.3,3.5,Bangalore,Yes
32.2,3.3,14.8,Bangalore,Yes
29.2,15,48.9,Vijaipur,No
33.7,1.9,5,Guwahati,Yes
41.95761826,52.93131383,54.5,Guwahati,No
32.2,8.3,89.4,Guwahati,No
35.34173863,26.79612921,32.5,Vijaipur,No
16.9,14.4,52.5,Guwahati,No
32.1,11,29,Vijaipur,No
22,11.1,47.8,Bangalore,No
39.82797284,75.6993068,74.5,Vijaipur,No
34.3,3.5,9.9,Bangalore,Yes
21.5,2.9,51.8,Vijaipur,No
28.5,14.6,74,Bangalore,No
34.6,7.6,2.3,Vijaipur,Yes
26.7,14.5,4.5,Guwahati,Yes
22.9,3.8,84.9,Guwahati,No
19.1,11.2,45.4,Vijaipur,No
34.4,9.5,87.4,Guwahati,No
16.6,7,50.1,Vijaipur,No
21.2,14.6,5.6,Vijaipur,Yes
46.97764482,38.34897015,89.4,Vijaipur,No
45.53854634,37.45047139,39.9,Bangalore,No
15.2,13.1,22.5,Guwahati,No
19.4,6.2,0.9,Bangalore,Yes
24.4,10.6,65.6,Bangalore,No
39.14365775,38.29765784,36.8,Guwahati,No
33.2,5.3,69.7,Guwahati,No
34.3,6.5,63.9,Bangalore,No
19.2,6.7,86.3,Bangalore,No
48.38137358,35.67405836,22.4,Bangalore,No
35,4.3,45.4,Vijaipur,No
23.5,2.5,50.4,Guwahati,No
15.9,9.1,80.1,Bangalore,No
25.1,12.9,14.8,Guwahati,Yes
27,1.5,55.5,Bangalore,No
47.24920996,48.9102526,47.3,Bangalore,No
23,14.8,46.3,Guwahati,No
21.2,11.2,50.8,Vijaipur,No
23.2,13.1,44.4,Bangalore,No
19.8,3.4,68.3,Bangalore,No
24,12.3,40.6,Guwahati,No
29.2,2.1,62.3,Guwahati,No
38.4039829,77.50173174,83.1,Guwahati,No
27.2,1.5,97.6,Guwahati,No
47.41599759,49.14505879,83.9,Guwahati,No
24.7,1.9,32.8,Guwahati,No
32.8,11.8,3.1,Vijaipur,Yes
17.8,1.5,67.5,Vijaipur,No
28.2,10.3,92.9,Vijaipur,No
31.7,11.2,80.2,Guwahati,No
35.97968802,86.36117028,37.3,Guwahati,No
29.8,5.9,19.6,Guwahati,Yes
22.1,12.5,4.3,Bangalore,Yes
39.39957408,63.11899895,72.1,Vijaipur,No
44.18450872,27.52646445,83.5,Vijaipur,No
21.8,13.8,83,Guwahati,No
46.38288454,25.72807331,89.2,Guwahati,No
20.5,2.2,45.6,Vijaipur,No
21.7,2.6,14.8,Vijaipur,Yes
21.5,7.4,11.7,Bangalore,Yes
33.1,5.3,53.6,Guwahati,No
23.7,10,53.8,Vijaipur,No
19.7,3,3.4,Bangalore,Yes
28.5,13.8,44.9,Bangalore,No
30.3,1.9,63.6,Bangalore,No
36.30537788,74.49167519,78.8,Guwahati,No
47.35746283,67.95509182,53.3,Guwahati,No
19.9,7.8,25,Vijaipur,No
45.64649894,43.79539941,28.1,Guwahati,No
17.3,3.7,77.9,Guwahati,No
36.63310024,71.20834119,35.6,Guwahati,No
30.9,8.2,39.5,Bangalore,No
31.3,9.2,74.5,Guwahati,No
18.2,7.6,44.4,Bangalore,No
46.35245809,45.09758393,52.6,Bangalore,No
27.4,8,19.8,Bangalore,Yes
34.2,10.3,29.9,Bangalore,No
39.61914468,50.73406744,65.3,Vijaipur,No
17.2,7.2,32.6,Guwahati,No
48.18816895,96.72294416,75.1,Vijaipur,No
17.4,2.2,43.7,Guwahati,No
33.2,5.6,31.1,Vijaipur,No
25.7,9,27.7,Vijaipur,No
45.83339128,50.47339181,71.9,Vijaipur,No
26.2,8,15.9,Vijaipur,Yes
38.2374208,51.55098857,85.4,Guwahati,No
44.05193567,66.7229282,87.4,Vijaipur,No
20.8,14.6,96.5,Bangalore,No
35.95858022,26.48534002,82.9,Guwahati,No
19.8,14.5,16,Vijaipur,Yes
32.5,3.5,21.6,Vijaipur,No
22,13.6,61.1,Vijaipur,No
21.1,10.3,4.7,Vijaipur,Yes
27.1,12,16.5,Vijaipur,Yes
45.25423615,96.61129207,70.3,Bangalore,No
31.9,2.6,82.6,Guwahati,No
38.65979895,68.94459742,59,Guwahati,No
25.5,11.8,34.2,Guwahati,No
27.5,5,39.4,Vijaipur,No
25.2,8.5,99.8,Bangalore,No
16.7,7.1,8.2,Bangalore,No
27.8,6.3,92.9,Bangalore,No
33.4,15,56.7,Guwahati,No
37.45124964,88.51222062,64.5,Bangalore,No
28.2,4.6,23.3,Bangalore,No
20.5,12.6,88.8,Bangalore,No
15,4.3,2.3,Vijaipur,No
17.8,8.7,39.3,Vijaipur,No
28.9,5.7,44.2,Vijaipur,No
44.47198087,59.25278802,36.3,Bangalore,No
33.5,3.1,36.1,Bangalore,No
18.8,4,29.5,Guwahati,No
15.3,1.5,86,Guwahati,No
28.4,2.9,38.5,Vijaipur,No
17.1,14.4,35.6,Bangalore,No
27.7,9.6,57.3,Guwahati,No
49.88057305,50.86093783,81.2,Vijaipur,No
16.6,1.2,76.9,Bangalore,No
40.51655644,95.90956651,48.8,Vijaipur,No
17.8,4.6,52.6,Guwahati,No
20,6.8,65.6,Guwahati,No
49.64817341,89.59691622,75.6,Vijaipur,No
24.5,13.3,24.6,Guwahati,No
15.5,8.7,45.1,Guwahati,No
30.9,10.4,38,Guwahati,No
48.38295488,62.84230762,31.3,Bangalore,No
22.2,4.1,75.3,Guwahati,No
27,14.8,6.2,Guwahati,Yes
19,8.6,87.7,Guwahati,No
32.9,14.6,42.9,Bangalore,No
29.3,7.6,46.8,Vijaipur,No
16,12.7,95.3,Bangalore,No
26.2,14.2,41.6,Guwahati,No
15.1,4.5,84.3,Bangalore,No
16.2,7,68.9,Bangalore,No
24.6,4,19.9,Guwahati,Yes
27.3,5.6,0.3,Guwahati,Yes
33.2,7.2,20.5,Bangalore,No
26.4,3.1,74.1,Bangalore,No
43.90390471,39.09161854,29,Guwahati,No
29.4,6.2,32.1,Vijaipur,No
31.8,8.5,50,Vijaipur,No
15.6,4.5,32.5,Bangalore,No
34.4,1.7,52.8,Guwahati,No
19,11,87.2,Vijaipur,No
47.69209611,47.53044903,25.9,Guwahati,No
42.11254984,27.74859545,42.2,Guwahati,No
33.9,6.5,92.2,Bangalore,No
33.8,4.5,21,Guwahati,No
30.7,10.8,92.4,Bangalore,No
39.85374189,92.786445,28.9,Guwahati,No
45.73746073,35.58006795,97.1,Vijaipur,No
39.40949494,44.05891298,73.8,Guwahati,No
21.3,12.7,99.1,Bangalore,No
33.8,3.9,4.4,Bangalore,Yes
19.2,10.3,18.8,Bangalore,Yes
15,8.7,34.2,Guwahati,No
32,6.1,4.5,Bangalore,Yes
19.2,12.8,41.2,Bangalore,No
37.56782434,52.45043692,46,Vijaipur,No
18,3.4,7.5,Bangalore,Yes
35.56428383,48.06691255,31,Bangalore,No
21,8.6,6.8,Bangalore,Yes
17.7,14.5,87,Bangalore,No
44.23821905,93.99081816,43.5,Guwahati,No
20,2.1,12.5,Guwahati,Yes
27.4,8,40.3,Vijaipur,No
32.9,2.9,27.4,Bangalore,No
26.6,13.8,1.5,Vijaipur,Yes
33.3,6.6,82.1,Guwahati,No
19.3,8.1,48.7,Guwahati,No
22.5,1.6,56.1,Guwahati,No
24.4,6.8,65.8,Guwahati,No
26.8,13.2,19.1,Guwahati,Yes
34.9,13.8,67,Guwahati,No
42.18912095,52.39113644,21.9,Guwahati,No
29.7,7,54.5,Vijaipur,No
21.8,3.1,15.5,Vijaipur,Yes
31.7,13.5,26,Vijaipur,No
33.1,13.1,89.9,Bangalore,No
31.2,4.8,67.6,Guwahati,No
22.3,2.1,31.3,Guwahati,No
15.1,7.7,54.5,Vijaipur,No
46.03088599,59.73733137,41.7,Vijaipur,No
19.19231814,2.965337734,87.47487481,Guwahati,No
16.63538486,16.04679559,2.152187038,Vijaipur,Yes
29.03152396,11.49774533,84.91854722,Vijaipur,No
43.56997297,55.27737462,9.086139883,Bangalore,No
45.99133896,100.224775,37.5899323,Guwahati,No
20.60096157,14.77987454,96.59508168,Bangalore,No
45.68416894,35.29223027,76.45747978,Guwahati,No
27.19517821,2.552172296,5.081754132,Bangalore,Yes
35.07769271,4.875150607,57.8785308,Bangalore,No
44.24161946,56.67672838,80.04909351,Guwahati,No
32.16060589,14.80206048,43.33910557,Bangalore,Yes
24.86980355,0.840431888,87.97957811,Bangalore,No
24.07837435,3.45438159,29.97518749,Guwahati,Yes
48.63795033,58.25137423,32.87965219,Guwahati,No
18.26103889,6.099678307,20.51333717,Guwahati,Yes
14.82734647,13.15758926,20.25812313,Bangalore,Yes
17.49794809,3.515978158,54.19519087,Vijaipur,No
23.32189921,12.44389673,79.45193002,Vijaipur,No
27.96151455,3.107160321,68.9828147,Bangalore,No
30.80586216,15.61875376,31.60149944,Guwahati,Yes
17.27782865,10.7924168,28.91810968,Bangalore,Yes
36.58378263,14.72939886,100.840344,Guwahati,No
12.74559348,1.666695684,9.634840157,Vijaipur,Yes
27.45921673,2.132944797,68.09102289,Guwahati,No
34.86290767,5.673064637,36.85368623,Guwahati,Yes
31.15639093,11.6404272,0,Bangalore,Yes
41.34632972,63.23875525,38.7030761,Guwahati,No
35.01271454,83.02059003,67.74229781,Guwahati,No
19.1394215,4.089909926,51.32381213,Vijaipur,No
25.19218541,6.863147035,59.58288948,Vijaipur,No
18.0172368,7.746404512,14.50074823,Vijaipur,Yes
35.42747825,43.03778249,9.4643715,Guwahati,Yes
21.92738848,3.068852578,8.294522762,Bangalore,Yes
22.10986253,15.03786171,100.6203261,Bangalore,No
40.86618769,39.82483056,53.6155973,Guwahati,No
21.66693569,13.71524831,82.21456105,Guwahati,No
32.45786838,14.24305729,23.65785469,Vijaipur,Yes
45.35870464,48.5225432,42.89027638,Bangalore,No
46.21901087,54.82684711,79.43621801,Vijaipur,No
15.3154083,4.095036339,79.23004021,Bangalore,No
17.2027891,13.8011186,98.24426355,Vijaipur,No
32.10538477,14.12470141,24.13355037,Vijaipur,Yes
20.28955719,9.102897059,0,Vijaipur,Yes
25.93632339,12.67517009,102.7352588,Vijaipur,No
28.85242713,6.794310007,40.03848428,Bangalore,Yes
39.70478951,52.43347993,83.71383639,Vijaipur,No
18.82875531,7.843334674,55.53317549,Guwahati,No
27.41412847,11.85231717,46.64718777,Bangalore,Yes
45.48874858,69.78944376,29.17123,Guwahati,No
33.29858156,12.63796302,72.81162921,Guwahati,No
27.53185324,6.079172803,17.97750236,Vijaipur,Yes
36.40293725,4.315894492,55.63067222,Guwahati,No
22.74127736,11.48762801,6.723708396,Guwahati,Yes
23.5590843,3.60647047,13.85029527,Bangalore,Yes
31.7253391,13.15524114,28.703712,Vijaipur,Yes
22.87042078,10.84501961,32.69959041,Guwahati,Yes
23.5758028,14.60234002,55.11268205,Bangalore,No
27.54967361,0.577248864,71.14641681,Bangalore,No
29.71263988,5.457557192,17.29670489,Vijaipur,Yes
38.14033505,49.13977694,35.36864357,Vijaipur,Yes
19.0398713,11.83991704,74.7410451,Bangalore,No
26.63033355,9.786542505,79.21452647,Bangalore,No
21.89799303,13.15405582,81.89871986,Guwahati,No
23.83221829,7.014498157,102.9129732,Bangalore,No
38.48161111,80.41340365,106.4296684,Guwahati,No
19.94222976,9.627539018,48.07097822,Bangalore,Yes
21.57462235,1.451097125,10.00305024,Vijaipur,Yes
45.38353389,24.80335365,90.5201525,Guwahati,No
19.29453497,9.213253394,94.4334298,Guwahati,No
26.38254526,14.74405363,10.5183081,Bangalore,Yes
24.01930308,3.762042004,71.06111614,Guwahati,No
44.11817244,36.95096097,37.83006776,Bangalore,Yes
34.41954427,2.182256911,89.25690103,Bangalore,No
29.53210265,1.305364489,23.3538408,Bangalore,Yes
27.26898097,5.706372544,81.42343886,Guwahati,No
17.99481776,12.4062306,86.48711671,Bangalore,No
17.77781751,3.83696217,66.01924462,Vijaipur,No
17.22006618,12.41916675,42.92365464,Guwahati,Yes
39.90179012,86.4312481,66.6011642,Vijaipur,No
17.16112825,9.122974742,32.84673805,Guwahati,Yes
25.93119599,8.800125492,32.15456363,Vijaipur,Yes
27.46719044,5.817355612,50.28476193,Vijaipur,No
31.91252383,5.309182074,23.84657635,Vijaipur,Yes
43.61912678,58.48825651,83.00920575,Vijaipur,No
26.90246555,3.24036666,20.89052115,Bangalore,Yes
27.99410196,0.659736546,27.60399426,Vijaipur,Yes
23.52785631,13.74912958,91.88470367,Bangalore,No
35.78320433,5.139481736,94.43971343,Vijaipur,No
28.48778853,6.944303817,23.55370335,Vijaipur,Yes
44.97366014,43.31171184,63.65238643,Bangalore,No
19.65138563,8.475712164,19.19458371,Vijaipur,Yes
34.4993484,36.67973164,15.81715202,Bangalore,Yes
27.63241216,1.131929987,75.70743393,Vijaipur,No
27.48159618,9.750404363,52.66993923,Guwahati,No
31.81531727,3.779835567,23.84087215,Vijaipur,Yes
29.51842227,2.946374615,73.81057028,Vijaipur,No
46.59521266,75.81898902,20.92620675,Bangalore,No
36.50745414,85.24212422,17.7809856,Bangalore,No
42.70687022,56.60143897,57.45411186,Guwahati,No
29.78415999,45.53882641,34.18631734,Guwahati,Yes
22.55597365,13.15372064,21.00391204,Bangalore,Yes
15.81801361,10.39717589,34.96558476,Vijaipur,Yes
33.11845287,12.19597284,37.02100226,Bangalore,Yes
31.11776675,8.557482754,46.54733288,Vijaipur,Yes
35.70953312,92.11482459,30.37292969,Guwahati,No
20.68587471,2.852921064,8.011936373,Bangalore,Yes
25.91107395,5.030606301,0,Guwahati,Yes
36.07440827,62.97282228,31.87753128,Vijaipur,No
40.63200246,66.74440474,77.16780035,Bangalore,No
22.87258341,7.7731286,26.53538773,Vijaipur,Yes
23.33170457,4.12654838,4.934263242,Bangalore,Yes
17.82791682,9.157441798,31.65305667,Bangalore,Yes
31.70862707,11.85901384,70.59625436,Vijaipur,No
45.12101474,95.544444,82.18599523,Bangalore,No
22.97875766,5.274889261,72.83371692,Bangalore,No
31.92197917,5.733613795,87.33729281,Guwahati,No
26.21526221,11.09883338,87.85018961,Guwahati,No
34.7781089,9.894672507,5.607036788,Guwahati,Yes
52.47536718,54.92942353,91.6012012,Vijaipur,No
24.31678955,4.817178559,8.78922299,Bangalore,Yes
26.25574433,2.44814058,50.87657539,Bangalore,No
31.89262452,11.36704448,89.33131439,Guwahati,No
21.90310251,2.591231266,57.80048699,Vijaipur,No
18.02029541,9.34335082,80.55034102,Bangalore,No
15.56745078,9.497885929,85.76049811,Bangalore,No
31.76616451,11.10092885,25.91959944,Vijaipur,Yes
31.26393312,0.443975037,13.54606261,Guwahati,Yes
50.78208287,68.02102252,15.88052542,Vijaipur,No
23.43599679,13.40617001,3.592335492,Guwahati,Yes
28.96751307,7.175473407,71.5232394,Vijaipur,No
29.34026283,5.122169544,30.02960511,Guwahati,Yes
31.14405073,10.32134811,14.23830797,Vijaipur,Yes
22.16908042,6.172827042,77.08235725,Bangalore,No
31.66796098,11.24962197,15.64154795,Vijaipur,Yes
35.60608215,5.216176085,66.02035859,Vijaipur,No
18.83602733,14.85657802,22.99191205,Guwahati,Yes
34.8387029,8.201610406,35.3774578,Guwahati,Yes
19.18459754,7.392209693,29.58595746,Guwahati,Yes
48.7410552,60.04491532,95.53860895,Vijaipur,No
31.63669287,1.610335605,5.933718918,Bangalore,Yes
33.29562256,4.154292212,59.41226745,Bangalore,No
37.46628061,2.332548685,93.07785831,Bangalore,No
27.87894675,14.77424781,93.11611781,Bangalore,No
18.83381289,6.17269665,23.6498861,Bangalore,Yes
40.67741086,37.94496106,83.00099581,Bangalore,No
29.43605236,8.189567421,33.01031685,Vijaipur,Yes
29.82713685,6.78034927,33.14837639,Guwahati,Yes
23.23407422,6.469531261,80.83076203,Guwahati,No
14.63103857,3.89384896,43.74473067,Vijaipur,Yes
30.76857932,5.726733303,0,Bangalore,Yes
49.06051225,37.87379387,87.13016722,Bangalore,No
34.12908669,7.731036832,48.00806128,Guwahati,Yes
24.84305806,14.93679011,94.65171317,Vijaipur,No
17.31463183,3.973748929,56.26552991,Bangalore,No
27.61023849,2.965702124,22.67769926,Vijaipur,Yes
21.40923336,3.964714341,28.44672252,Bangalore,Yes
20.90302864,5.627056335,0,Vijaipur,Yes
26.3546306,6.65436838,80.44601364,Bangalore,No
22.24093718,1.279123852,21.33600837,Guwahati,Yes
25.22948582,11.52951796,79.62300162,Guwahati,No
26.00377683,9.726267679,13.36920823,Vijaipur,Yes
16.26263884,4.817962441,30.91940594,Bangalore,Yes
18.53925669,13.03423947,46.4127283,Bangalore,Yes
23.92709805,10.85635652,92.18169343,Bangalore,No
17.63436603,3.367089234,93.98179884,Guwahati,No
40.07769787,51.94935949,32.42523237,Guwahati,No
17.06174824,14.92985793,82.36507587,Guwahati,No
35.81261422,75.35048913,73.69825763,Bangalore,No
18.40155251,3.112341259,21.7303125,Bangalore,Yes
48.29496795,40.33868854,80.85791195,Bangalore,No
32.49633167,3.046569354,92.42020974,Guwahati,No
34.02543764,9.421919882,15.94996995,Vijaipur,Yes
17.22979151,4.067773148,0,Guwahati,Yes
15.38591557,8.701612091,8.307678547,Guwahati,Yes
32.72961505,6.590401623,41.46234219,Bangalore,Yes
27.8379627,6.29053748,46.03521719,Bangalore,Yes
24.53143396,12.8338477,38.12040712,Bangalore,Yes
17.22967267,15.10411879,27.02698388,Bangalore,Yes
